dataset_id	analysis	outcome	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariate_set	analysis_note	status
MIMIC-IV-2.2	primary_extended_all_patients	incident_post_landmark_delirium	odds_ratio	1.7367858133283574	1.3095369896501818	2.303428605086157	0.00012714666083815781	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	Reference clinical-covariate-extended model; patients without post-landmark assessment are treated as no documented delirium.	ok
MIMIC-IV-2.2	restricted_to_any_post_landmark_assessment	incident_post_landmark_delirium	odds_ratio	1.995463508578243	1.4288623952847082	2.786744634898158	5.0290736536443355e-05	4019	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	Restricts to patients with at least one post-landmark delirium-positive or negative assessment proxy.	ok
MIMIC-IV-2.2	adjusted_for_post_landmark_assessment_count	incident_post_landmark_delirium	odds_ratio	2.0525307282269583	1.4955901756148169	2.816869526830121	8.495934015321241e-06	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,log1p_post_landmark_assessment_proxy_count	Adjusts for post-landmark assessment proxy count; sensitivity only because assessment count may occur after outcome onset.	ok
MIMIC-IV-2.2	assessment_ascertainment_model	any_post_landmark_assessment	odds_ratio	0.9070321075823132	0.8042929836635042	1.0228949660083233	0.11162659737948046	9340	4019	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	Models whether patients received any post-landmark delirium assessment proxy; estimates association of phenotype with ascertainment.	ok
MIMIC-IV-2.2	ipw_restricted_to_assessed	incident_post_landmark_delirium	odds_ratio	1.8938671419166118	1.3482784131418506	2.66023153398514	0.00022986240763828945	4019	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	Inverse-probability weighted model among assessed patients using probability of having any post-landmark assessment.	ok
