dataset_id	model	term	coef	se	odds_ratio	ci_lower	ci_upper	pvalue	n	events	aic	log_likelihood	comparison_family	interpretation_rule
MIMIC-IV-2.2	care_intensity_total	total_all_z	0.5766825085806205	0.04577561139416747	1.7801230810675224	1.6273652732292443	1.9472199855053314	2.164851632098434e-36	9343	445	3431.2773811773095	-1711.6386905886548	daytime_nocturnal_total_documentation_intensity	Nocturnal specificity requires a night term or night fraction signal that is stronger than daytime and total documentation-intensity comparators.
MIMIC-IV-2.2	day_vs_night_counts	day_all_z	0.36564215767611774	0.0630667059360808	1.4414393423505374	1.2738342084682257	1.6310971740776394	6.722856733527866e-09	9343	445	3432.8714116496776	-1711.4357058248388	daytime_nocturnal_total_documentation_intensity	Nocturnal specificity requires a night term or night fraction signal that is stronger than daytime and total documentation-intensity comparators.
MIMIC-IV-2.2	day_vs_night_counts	night_all_z	0.25570379915978747	0.06176374830491564	1.2913701663566697	1.1441326653878403	1.4575555414203243	3.472597118092868e-05	9343	445	3432.8714116496776	-1711.4357058248388	daytime_nocturnal_total_documentation_intensity	Nocturnal specificity requires a night term or night fraction signal that is stronger than daytime and total documentation-intensity comparators.
MIMIC-IV-2.2	night_fraction	total_all_z	0.5760626328311329	0.045948320855906194	1.7790199678703476	1.6258063757875358	1.9466721826258913	4.6729748316456185e-36	9340	445	3433.233729767038	-1711.616864883519	daytime_nocturnal_total_documentation_intensity	Nocturnal specificity requires a night term or night fraction signal that is stronger than daytime and total documentation-intensity comparators.
MIMIC-IV-2.2	night_fraction	night_fraction_z	0.006993551197004866	0.05484454289831352	1.0070180631848071	0.9043835271322471	1.1213001444156017	0.8985320902613737	9340	445	3433.233729767038	-1711.616864883519	daytime_nocturnal_total_documentation_intensity	Nocturnal specificity requires a night term or night fraction signal that is stronger than daytime and total documentation-intensity comparators.
