dataset_id	landmark_hours	outcome	model	term	odds_ratio	ci_lower	ci_upper	pvalue	auc_or_cstat	brier	aic	n	events	status
MIMIC-IV-2.2	24	incident_post_landmark_delirium	demographic_baseline	const	0.0920537501076934	0.08507673765674033	0.09960293662269157	0.0	0.5348733815691596	0.07679334306695064	10270.432480507508	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	demographic_baseline	age_z	1.12265666311468	1.0648514073415267	1.1835998661844818	1.788681782794607e-05	0.5348733815691596	0.07679334306695064	10270.432480507508	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	demographic_baseline	male	0.9806861691050177	0.8810303474204088	1.0916143411969794	0.721307155598343	0.5348733815691596	0.07679334306695064	10270.432480507508	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	care_intensity_total	const	0.08793897917120574	0.08111604365880896	0.09533581408631668	0.0	0.6353327141371226	0.07555570447808325	10007.128029588584	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	care_intensity_total	age_z	1.188695662659502	1.1258547427572814	1.255044123156601	4.438481837172923e-10	0.6353327141371226	0.07555570447808325	10007.128029588584	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	care_intensity_total	male	0.9324089627500952	0.836715133268126	1.0390471490828324	0.2052627483347087	0.6353327141371226	0.07555570447808325	10007.128029588584	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	care_intensity_total	total_all_z	1.5471156171745744	1.467832831723899	1.6306807431840418	1.916637372851498e-59	0.6353327141371226	0.07555570447808325	10007.128029588584	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	day_vs_night_counts	const	0.08719808396144539	0.08040964093351977	0.09455962939610223	0.0	0.6384935456520677	0.07544194082075822	9991.857518780984	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	day_vs_night_counts	age_z	1.1872647660325346	1.12449476539647	1.2535386273366054	5.872066729310235e-10	0.6384935456520677	0.07544194082075822	9991.857518780984	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	day_vs_night_counts	male	0.9392028704111851	0.8427204601296913	1.046731476832611	0.2567276010680343	0.6384935456520677	0.07544194082075822	9991.857518780984	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	day_vs_night_counts	day_all_z	1.236238764055422	1.1644246962900087	1.3124818518729235	3.77072872966073e-12	0.6384935456520677	0.07544194082075822	9991.857518780984	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	day_vs_night_counts	night_all_z	1.3425826200817603	1.265289515706426	1.4245973505433116	2.0759365497306837e-22	0.6384935456520677	0.07544194082075822	9991.857518780984	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	night_fraction	const	0.08731988881576219	0.08052381303823893	0.09468954207591045	0.0	0.6371117696968494	0.07548347343043167	9995.886230828903	17836	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	night_fraction	age_z	1.1873007806733034	1.1245268585369155	1.25357890128256	5.838985465869956e-10	0.6371117696968494	0.07548347343043167	9995.886230828903	17836	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	night_fraction	male	0.9375515636890049	0.8412722588026394	1.044849542319106	0.24344986366819932	0.6371117696968494	0.07548347343043167	9995.886230828903	17836	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	night_fraction	total_all_z	1.5462142973921613	1.4671044336265389	1.6295899587394496	1.7665284910412503e-59	0.6371117696968494	0.07548347343043167	9995.886230828903	17836	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	night_fraction	night_fraction_z	1.1064697378692079	1.0480022610677444	1.16819908343806	0.0002594707725088535	0.6371117696968494	0.07548347343043167	9995.886230828903	17836	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	const	0.07085965463512266	0.06485878222584303	0.07741574051645088	0.0	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	age_z	1.1363576753398588	1.074005156446624	1.2023301364549672	9.011346003013103e-06	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	male	0.9383206420694074	0.8386869744987856	1.0497905107679955	0.2663147217012335	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	braden_skin_records_z	1.1248901664425814	1.0765810738689416	1.1753670181213496	1.4811832588229916e-07	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	rass_records_z	1.726060858884374	1.6238147745056222	1.8347450308670337	1.0040554775120348e-68	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	mobility_records_z	1.0902808760063722	1.01981204976592	1.165619085259946	0.011229281939458291	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	pain_records_z	0.7956108027154232	0.7462758278633354	0.8482072254836585	2.5480787509420665e-12	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	nursing_vulnerability_density	restraint_records_z	1.589083691823897	1.5130669161215113	1.6689195650999709	1.4467336778152195e-76	0.7421765163746494	0.07090019484703808	9179.428285523994	17839	1497	ok
MIMIC-IV-2.2	24	incident_post_landmark_delirium	joint_density_screen	const	0.07073912192365511	0.0647414256510049	0.07729244946665881	0.0	0.7424994632960965	0.07088205103525375	9179.500005680413	17836	1497	ok
