dataset_id	outcome	landmark_time	model	term	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariate_set	aic
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	early_bedside_acuity_proxy_adjusted	age_z	odds_ratio	1.1175417043699234	1.011921241163545	1.2341864269693579	0.028238458045496538	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,early_bedside_acuity_proxy_z	3387.518968969588
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	early_bedside_acuity_proxy_adjusted	male	odds_ratio	0.9180268243766607	0.7553775317109218	1.1156980647362176	0.3899911914440416	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,early_bedside_acuity_proxy_z	3387.518968969588
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	early_bedside_acuity_proxy_adjusted	total_event_z	odds_ratio	1.361308984353224	1.2059075009755504	1.5367365651027478	6.116792863055462e-07	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,early_bedside_acuity_proxy_z	3387.518968969588
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	early_bedside_acuity_proxy_adjusted	night_fraction_z	odds_ratio	0.994785509203756	0.8939891608823991	1.1069465409905055	0.9235865391367959	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,early_bedside_acuity_proxy_z	3387.518968969588
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	early_bedside_acuity_proxy_adjusted	early_bedside_acuity_proxy_z	odds_ratio	1.500305882767962	1.3271631054304867	1.6960370075523103	8.928117742814454e-11	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,early_bedside_acuity_proxy_z	3387.518968969588
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	const	odds_ratio	0.035296757230625225	0.02428070541307802	0.051310744469831235	1.018788833027982e-68	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	high_intensity_class	odds_ratio	1.4226687831790688	1.054925058664355	1.918606871652845	0.02086447224134957	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	age_z	odds_ratio	1.0641339424284975	0.9596672947300461	1.1799725317793133	0.23835908349776957	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	male	odds_ratio	0.907708208780112	0.7442007188542066	1.1071397425621314	0.33928068333385775	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	total_event_z	odds_ratio	1.4756395955983348	1.2731569158898985	1.710325089484827	2.3777950018864982e-07	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
