dataset_id	split_or_cohort	outcome	model	threshold	net_benefit	n	events
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.01	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.01	0.038009334487981605	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.01	0.038009334487981605	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.01	0.0380547420042229	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.01	0.0380547420042229	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.01	0.0380547420042229	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.01	0.03911425071651979	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.01	0.039104520534468085	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.01	0.038009334487981605	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.01	0.038009334487981605	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.01	0.0380547420042229	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.02	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.02	0.02819310320724672	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.02	0.02819310320724672	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.02	0.028531673827617315	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.02	0.02856880737952893	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.02	0.028549148440281603	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.02	0.03134945511973386	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.02	0.03167928843377231	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.02	0.02819310320724672	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.02	0.02819310320724672	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.02	0.028937958572062022	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.03	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.03	0.018174475405259575	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.03	0.018174475405259575	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.03	0.020860206273840828	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.03	0.020817172788271943	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.03	0.02095399720392686	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.03	0.02608380936827947	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.03	0.026108084667831148	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.03	0.01883763245210318	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.03	0.018664395087120738	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.03	0.02041883719108302	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.04	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.04	0.007947126190731027	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.04	0.007947126190731027	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.04	0.013717934995897102	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.04	0.013588604659459842	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.04	0.013673338328160114	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.04	0.019948089478754143	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.04	0.020585821827393058	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.04	0.013820507331692173	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.04	0.013820507331692173	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.04	0.01432890934389382	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.05	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.05	-0.002495535638840224	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.05	-0.00035489558746486325	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.05	0.010460969935273803	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.05	0.01016240698073987	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.05	0.010077908031343476	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.05	0.01735045094272661	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.05	0.0171983528338131	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.05	0.008697758524535675	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.05	0.008697758524535675	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.05	0.010314505089653384	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.06	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.06	-0.013160381762657672	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.06	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.06	0.008097995768819984	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.06	0.008225523261242346	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.06	0.008084332108917588	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.06	0.014087233359370198	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.06	0.014328624684312525	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.06	0.00346601506190777	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.06	0.0030492734348846924	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.06	0.008733355954281393	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.07	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.07	-0.024054579416019593	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.07	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.07	0.0055944361772772185	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.07	0.005840724871360189	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.07	0.005757861385500497	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.07	0.011581323030639922	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.07	0.01208886188153053	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.07	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.07	-0.00033145394343876786	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.07	0.0067614302698012045	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.08	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.08	-0.035185607453150226	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.08	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.08	0.004369697844003184	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.08	0.00459772254512795	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.08	0.004439501323939337	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.08	0.009800408583035892	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.08	0.009888826324288353	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.08	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.08	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.08	0.0045884154144697955	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.09	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.09	-0.04656127346911892	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.09	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.09	0.002612286568189382	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.09	0.0029004496520283743	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.09	0.0025475968963071596	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.09	0.008215588329042251	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.09	0.008497870533619221	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.09	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.09	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.09	0.0030251242923832024	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.1	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.1	-0.05818973206322025	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.1	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.1	0.00164115737272111	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.1	0.0022595644986739922	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.1	0.00183143648839892	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.1	0.007480347735083898	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.1	0.007278176174676227	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.1	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.1	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.1	0.002045500493536456	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.11	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.11	-0.0700795043335935	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.11	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.11	0.0006506102628056577	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.11	0.0007047275674752591	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.11	0.0005435782602368896	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.11	0.005912014883461391	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.11	0.006693709284244528	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.11	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.11	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.11	0.000637381588330866	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.12	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.12	-0.08223949870102068	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.12	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.12	0.0005205647397662811	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.12	0.00032596109873215704	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.12	0.0004281280102750723	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.12	0.00556566413357594	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.12	0.006013252507954425	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.12	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.12	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.12	0.0004962392846370161	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.13	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.13	-0.09467903316884854	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.13	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.13	0.00020914299352517906	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.13	0.0004232069986627152	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.13	0.00024112956900550035	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.13	0.005068641960727866	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.13	0.005529986799386349	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.13	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.13	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.13	0.00037399688253914347	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.14	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.14	-0.10740785913592815	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.14	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.14	0.0005724967579259685	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.14	0.00039328038153175213	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.14	0.00037585656716009226	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.14	0.004229008659635742	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.14	0.004443072664773278	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.14	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.14	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.14	0.00047791033705124305	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.15	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.15	-0.1204361868904685	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.15	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.15	0.00028332000679967984	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.15	0.0005351600128438402	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.15	0.000321096007706304	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.15	0.003827968091871234	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.15	0.00397907209549773	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.15	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.15	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.15	0.000169992004079808	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.16	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.16	-0.13377471292487883	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.16	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.16	0.0003822571520313144	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.16	0.00015290286081252576	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.16	0.00036187010392297746	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.16	0.0033587661758484834	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.16	0.0033842499859839037	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.16	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.16	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.16	0.00015799962283960978	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.17	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.17	-0.1474346492251786	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.17	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.17	1.031633759698944e-05	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.17	0.00029014699491533504	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.17	1.031633759698944e-05	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.17	0.0032303032100573963	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.17	0.003247067258652505	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.17	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.17	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.17	0.00038299403328824217	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.18	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.18	-0.16142775470353438	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.18	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	care_intensity_total	0.18	0.000334148690946398	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	day_vs_night_counts	0.18	0.00019317971195338636	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	night_fraction	0.18	0.000334148690946398	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	nursing_vulnerability_density	0.18	0.0027045159673474073	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	joint_density_screen	0.18	0.0026000945014266587	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_unadjusted	0.18	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_demographic_adjusted	0.18	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	dynamic_phenotype_care_intensity_adjusted	0.18	0.0003680856673706415	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_none	0.19	0.0	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	treat_all	0.19	-0.17576636895913358	9343	445
MIMIC-IV-2.2	MIMIC_derivation_apparent	incident_post_landmark_delirium	demographic_baseline	0.19	0.0	9343	445
