assigned_class	n	incident_delirium_events	incident_delirium_rate	mean_assignment_confidence_proxy	mobility_turning_records_24h	mobility_turning_records_48h	oral_suction_airway_records_24h	oral_suction_airway_records_48h	pain_records_24h	pain_records_48h	rass_sedation_records_24h	rass_sedation_records_48h	restraints_records_24h	restraints_records_48h	skin_braden_pressure_records_24h	skin_braden_pressure_records_48h	vitals_records_24h	vitals_records_48h	skin_braden_pressure_records_24_48h_delta	rass_sedation_records_24_48h_delta	mobility_turning_records_24_48h_delta	pain_records_24_48h_delta	restraints_records_24_48h_delta	vitals_records_24_48h_delta	oral_suction_airway_records_24_48h_delta	all_day_06_22_count_24h	all_day_06_22_count_48h	all_night_22_06_count_24h	all_night_22_06_count_48h	all_total_count_24h	all_night_fraction_24h	all_total_count_48h	all_night_fraction_48h	all_day_06_22_count_24_48h_delta	all_night_22_06_count_24_48h_delta	all_total_count_24_48h_delta	log1p_skin_braden_pressure_records_24h	log1p_skin_braden_pressure_records_48h	log1p_skin_braden_pressure_records_24_48h_delta	log1p_rass_sedation_records_24h	log1p_rass_sedation_records_48h	log1p_rass_sedation_records_24_48h_delta	log1p_mobility_turning_records_24h	log1p_mobility_turning_records_48h	log1p_mobility_turning_records_24_48h_delta	log1p_pain_records_24h	log1p_pain_records_48h	log1p_pain_records_24_48h_delta	log1p_restraints_records_24h	log1p_restraints_records_48h	log1p_restraints_records_24_48h_delta	log1p_vitals_records_24h	log1p_vitals_records_48h	log1p_vitals_records_24_48h_delta	log1p_oral_suction_airway_records_24h	log1p_oral_suction_airway_records_48h	log1p_oral_suction_airway_records_24_48h_delta	log1p_all_day_06_22_count_24h	log1p_all_day_06_22_count_48h	log1p_all_day_06_22_count_24_48h_delta	log1p_all_night_22_06_count_24h	log1p_all_night_22_06_count_48h	log1p_all_night_22_06_count_24_48h_delta	log1p_all_total_count_24h	log1p_all_total_count_48h	log1p_all_total_count_24_48h_delta	dataset_id	feature_set	algorithm	number_of_classes
0	4676	311	0.0665098374679213	1.0	48.67750213857998	95.2619760479042	11.454875962360992	20.6830624465355	50.81800684345595	101.45829769033362	7.947818648417451	15.246150556030795	38.77694610778443	67.47733105218136	37.714499572284005	69.47946963216424	207.88344739093242	381.803250641574	31.76497005988024	7.298331907613345	46.58447390932421	50.640290846877676	28.70038494439692	173.91980325064156	9.228186484174508	373.0004277159966	687.1854148845167	177.9309238665526	317.76625320786997	550.9313515825492	0.32308087946287595	1004.9516680923866	0.3158150431123894	314.1849871685201	139.83532934131736	454.02031650983747	3.5701752113344374	4.173152796204644	3.3574290111191467	1.8931833861580811	2.417736162884145	1.8207460193843386	3.8745362029923838	4.542399859421239	3.8230551758744995	3.8192903848439106	4.531342446120791	3.821057724609487	3.162605843119803	3.7920891193725748	2.148187251664399	5.30802166523318	5.925900816482877	5.13553241675717	2.233608043104872	2.81503434262366	1.9673482908305862	5.892546589586194	6.51259849480101	5.72086986110929	5.140013460479775	5.732890500484926	4.896132047327279	6.286240154557234	6.893744660390546	6.088772642352425	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	2
1	4667	134	0.028712234840368545	0.9999999999002469	41.74737518748661	80.92307692307692	4.0199271480608525	7.59867152346261	47.86758088707949	90.22691236340262	7.562888365116778	14.314977501607029	0.0	0.0	32.22476965931005	59.32290550674952	175.26376687379474	327.17805871009216	27.09813584743947	6.752089136490251	39.175701735590316	42.35933147632312	0.0	151.9142918362974	3.578744375401757	284.09663595457465	528.9693593314763	129.6016713091922	237.47075208913648	413.6983072637669	0.3131924735802151	766.4401114206128	0.3096468616950535	244.87272337690166	107.86908077994428	352.74180415684594	3.37574077189095	3.9718533205396236	3.1569706166011375	1.8104650395382034	2.2948020396806244	1.7127088687641727	3.6941673432886657	4.350172645956708	3.6267309969275456	3.7023727165687155	4.343198632751245	3.5699207877789143	0.0	0.0	0.0	5.112269420816472	5.743586310763298	4.979609289068261	1.1571166956142873	1.625466919603025	1.0795297291242123	5.598014995136999	6.2257134311331015	5.451335687948326	4.797842706779034	5.4166084457879595	4.62530964964853	5.976982471000278	6.598615955841704	5.818384648184323	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	2
0	3917	311	0.07939749808526934	1.0	48.63747766147562	95.10441664539188	11.705386775593567	21.02067909114118	51.980852693387796	103.88307378095482	9.487873372478939	18.200408475874394	40.07301506254787	69.10262956344141	37.485575695685476	68.387030890988	206.89481746234364	380.11947919326013	30.90145519530253	8.712535103395457	46.466938983916265	51.902221087567014	29.02961450089354	173.22466173091652	9.315292315547612	378.87464896604547	697.1488383967322	179.79703854991064	319.70589737043656	558.6716875159561	0.3218887939124536	1016.8547357671688	0.3139099815643598	318.27418943068676	139.90885882052592	458.18304825121265	3.5598892677670606	4.153426380144703	3.325299674146395	2.260026937369208	2.8862226953398675	2.173553328220875	3.875581277843898	4.542733447499575	3.8230740608889517	3.8452054709076284	4.559133663423941	3.8494154014671227	3.229064095772283	3.827404102882808	2.119693243749363	5.304028509444745	5.9220435474069335	5.133923995972163	2.260055305341888	2.834527883009721	1.9650178213032032	5.9098303594310435	6.528167150618621	5.7364568848040856	5.1518686950223715	5.740074565490877	4.89656077953755	6.30190076089219	6.906513916097917	6.099797033644208	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	3
1	1657	0	0.0	0.9999178021565216	45.34158117079058	89.07483403741702	8.552202776101389	16.044659022329512	45.22691611345806	88.68436934218467	0.0	0.0	14.698249849124924	27.066385033192518	38.52866626433313	74.56789378394689	206.93240796620398	379.9668074834037	36.03922751961376	0.0	43.73325286662644	43.457453228726614	12.368135184067592	173.03439951719974	7.492456246228123	318.7175618587809	591.5890162945082	153.68919734459868	282.106216053108	472.4067592033796	0.3247917473523674	873.6952323476162	0.3223952303530717	272.87145443572723	128.41701870850935	401.28847314423655	3.615893420769544	4.270426730879638	3.5274278806294004	0.0	0.0	0.0	3.790491999381924	4.463270594916646	3.7494042991813763	3.691830194884321	4.378350459306494	3.6474655913860614	1.2915515143561653	1.6535104714509352	1.0513489155198998	5.297949949417117	5.918353204012436	5.127371443879974	1.8408010103811732	2.4260433859314663	1.7459522147640418	5.728108652751109	6.356419201711904	5.574528302273876	4.984120401166952	5.607156034476486	4.816497632187245	6.1235174575250975	6.747065001664482	5.961719056920982	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	3
2	3769	134	0.03555319713451844	0.9999969676806028	41.60440435128681	80.39055452374635	3.2642610772088085	6.1695409923056515	48.414168214380474	90.6468559299549	9.364818254178827	17.72565667285752	0.0	0.0	30.79676306712656	55.80127354736004	168.93738392146457	316.720350225524	25.004510480233485	8.360838418678695	38.786150172459536	42.23268771557442	0.0	147.78296630405944	2.9052799150968425	280.6744494560891	522.9461395595649	126.8049880604935	232.00132661183338	407.47943751658266	0.31132319858034446	754.9474661713982	0.3072641949168773	242.27169010347572	105.19633855133988	347.4680286548156	3.3200052561836504	3.9016274072478065	3.0678623247111423	2.24182550796625	2.841560392462052	2.120778002261182	3.687055762279171	4.338814325205875	3.6123150821980503	3.7036197519999523	4.336750338659709	3.556931712487325	0.0	0.0	0.0	5.074207470390447	5.7074751116913465	4.947718587982493	1.0458399901205835	1.49279784867552	0.9677549025836708	5.582170941817308	6.209842875717152	5.4352550043928005	4.772533210561133	5.389062874662938	4.5953484845394525	5.9585626021051015	6.57951418964867	5.798362581749469	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	3
0	3917	311	0.07939749808526934	1.0	48.63747766147562	95.10441664539188	11.705386775593567	21.02067909114118	51.980852693387796	103.88307378095482	9.487873372478939	18.200408475874394	40.07301506254787	69.10262956344141	37.485575695685476	68.387030890988	206.89481746234364	380.11947919326013	30.90145519530253	8.712535103395457	46.466938983916265	51.902221087567014	29.02961450089354	173.22466173091652	9.315292315547612	378.87464896604547	697.1488383967322	179.79703854991064	319.70589737043656	558.6716875159561	0.3218887939124536	1016.8547357671688	0.3139099815643598	318.27418943068676	139.90885882052592	458.18304825121265	3.5598892677670606	4.153426380144703	3.325299674146395	2.260026937369208	2.8862226953398675	2.173553328220875	3.875581277843898	4.542733447499575	3.8230740608889517	3.8452054709076284	4.559133663423941	3.8494154014671227	3.229064095772283	3.827404102882808	2.119693243749363	5.304028509444745	5.9220435474069335	5.133923995972163	2.260055305341888	2.834527883009721	1.9650178213032032	5.9098303594310435	6.528167150618621	5.7364568848040856	5.1518686950223715	5.740074565490877	4.89656077953755	6.30190076089219	6.906513916097917	6.099797033644208	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	4
1	3730	134	0.035924932975871314	0.999999997111259	42.01072386058981	81.15415549597856	3.29544235924933	6.221447721179625	48.88552278820375	91.50428954423593	9.462734584450402	17.910991957104557	0.0	0.0	31.109651474530832	56.336729222520106	170.58016085790885	319.7048257372654	25.227077747989277	8.448257372654156	39.14343163538874	42.61876675603217	0.0	149.12466487935657	2.926005361930295	283.43163538873995	527.9155495978553	128.00643431635388	234.15871313672923	411.4380697050938	0.30945578148112496	762.0742627345844	0.30582353805125395	244.48391420911528	106.15227882037533	350.63619302949064	3.3523655052994186	3.936246884535584	3.095972590489451	2.265265506575012	2.87127107753069	2.1429523567084168	3.722459440416559	4.377451607527225	3.6450732329604745	3.7398236501848263	4.376311859957778	3.589426670793889	0.0	0.0	0.0	5.120420988256126	5.753186664936831	4.989567308077061	1.0556360395502493	1.505771133418685	0.9759329037525365	5.624716115780243	6.2509674973448375	5.4766090416089925	4.807539823255465	5.4236309336954776	4.6280866034876285	5.998692820083714	6.617760080942241	5.837029973798047	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	4
2	38	0	0.0	1.0	1.4210526315789473	1.5789473684210527	0.10526315789473684	0.10526315789473684	1.131578947368421	1.5263157894736843	0.0	0.0	0.5789473684210527	0.6052631578947368	1.3157894736842106	1.9210526315789473	12.157894736842104	15.026315789473685	0.6052631578947368	0.0	0.15789473684210525	0.39473684210526316	0.02631578947368421	2.8684210526315788	0.0	18.789473684210527	25.105263157894736	9.710526315789474	11.842105263157896	28.5	0.45870146427957176	36.94736842105263	0.4277875266664261	6.315789473684211	2.1315789473684212	8.447368421052632	0.30072019938443634	0.43150475989959436	0.1307845605151579	0.0	0.0	0.0	0.3016927179771319	0.3729571969535058	0.07126447897637395	0.24995716797874346	0.357703077510904	0.10774590953216057	0.14582272487259015	0.16406344015048346	0.018240715277893296	0.7637349371675284	1.1134321628201482	0.3977853944507977	0.06539228025757896	0.06539228025757896	0.0	1.6098894213687929	2.1076714118348776	0.9917762082608715	1.3219705075214236	1.7463439970602987	1.0104548861326377	2.163419872847341	2.73485145193087	1.634526415898644	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	4
3	1658	0	0.0	0.9997120586858648	45.34620024125452	89.15802171290711	8.551266586248492	16.060916767189386	45.25211097708082	88.79915560916767	0.0	0.0	14.67611580217129	27.03618817852835	38.49577804583836	74.58685162846804	206.80699638118216	380.12907117008444	36.091073582629676	0.0	43.81182147165259	43.54704463208685	12.360072376357056	173.32207478890228	7.509650180940892	318.4939686369119	591.7780458383595	153.65379975874546	282.2683956574186	472.1477683956574	0.32560696034075476	874.046441495778	0.32286485186504754	273.28407720144753	128.6145958986731	401.8986731001206	3.612113695071093	4.2718532755070155	3.5312264922882886	0.0	0.0	0.0	3.788371758123731	4.467167489696649	3.7567836305213023	3.689544566126989	4.380520375688406	3.653359639727384	1.287430395502417	1.6487529797759237	1.050296746583784	5.292641018261788	5.920680502178371	5.137396825391174	1.8407544407683145	2.4290094980970998	1.7492649678557972	5.723348255395476	6.357831204504584	5.5832510779908455	4.9843225303437	5.612744915054119	4.824876174958725	6.120118637136769	6.749038740323252	5.970062268914927	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	4
0	1535	39	0.025407166123778503	0.9992415132639761	44.62801302931596	83.93289902280131	14.231921824104235	22.30553745928339	58.44364820846906	116.46514657980455	9.452768729641694	17.53941368078176	26.7557003257329	26.7557003257329	32.62801302931596	56.030618892508144	213.15504885993485	380.9654723127036	23.402605863192182	8.086644951140066	39.30488599348534	58.021498371335504	0.0	167.81042345276873	8.073615635179154	387.8527687296417	669.7830618892508	175.8788273615635	292.1491856677524	563.7315960912052	0.31241784520583854	961.9322475570033	0.30375390338252256	281.9302931596091	116.27035830618892	398.20065146579805	3.461484283266784	3.993872373858501	3.0852411735185643	2.261788071622656	2.8553544981487975	2.10581415155356	3.796729534007206	4.4249435268399555	3.6674248587457954	3.9799858774266688	4.690076573013691	3.9785461431489137	3.0922467337452364	3.0922467337452364	0.0	5.338263515873578	5.927978392881074	5.107191567444606	2.516617356126211	2.9229755313142545	1.73535855861986	5.939033193861578	6.492973050016233	5.626097169461821	5.134255394974538	5.656324177655106	4.727632711112182	6.317496760666959	6.8566953920207405	5.971343419352608	MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	5
