dataset_id	seed	number_of_classes	n_init	aic	bic	mean_max_posterior	min_class_proportion	selection_eligible	seed_selected_k_by_eligible_bic	selected_k_by_eligible_bic
MIMIC-IV-2.2	20260608	2	10	595596.4627478467	596517.8301134111	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260608	3	10	496549.41074349405	497935.0329831799	0.9996947327200052	0.004067216097613186	False		2
MIMIC-IV-2.2	20260608	4	10	429057.022134203	430906.89924801036	0.9995089655406044	0.004067216097613186	False		2
MIMIC-IV-2.2	20260608	5	10	400964.0735533161	403278.20554124506	0.9906606016948474	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260609	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260609	3	10	496549.4126712584	497935.03491094423	0.9996947045658556	0.004067216097613186	False		2
MIMIC-IV-2.2	20260609	4	10	429057.02535534627	430906.90246915363	0.9995087435674995	0.004067216097613186	False		2
MIMIC-IV-2.2	20260609	5	10	400964.36703855894	403278.4990264879	0.9907521363858873	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260610	2	10	595596.4627478467	596517.8301134111	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260610	3	10	496549.40970694117	497935.031946627	0.9996947476376105	0.004067216097613186	False		2
MIMIC-IV-2.2	20260610	4	10	429057.0219658027	430906.89907961007	0.9995089770036863	0.004067216097613186	False		2
MIMIC-IV-2.2	20260610	5	10	400964.36703645217	403278.4990243811	0.9907521363858856	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260611	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260611	3	10	496549.40970694117	497935.031946627	0.9996947476376105	0.004067216097613186	False		2
MIMIC-IV-2.2	20260611	4	10	429057.0219437808	430906.8990575882	0.9995089793289035	0.004067216097613186	False		2
MIMIC-IV-2.2	20260611	5	10	387369.60529638454	389683.7372843135	0.9995074602825985	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260612	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260612	3	10	496549.40970694117	497935.031946627	0.9996947476376105	0.004067216097613186	False		2
MIMIC-IV-2.2	20260612	4	10	429057.02535534627	430906.90246915363	0.9995087435674995	0.004067216097613186	False		2
MIMIC-IV-2.2	20260612	5	10	400965.1539384485	403279.28592637746	0.990584159098289	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260613	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260613	3	10	496549.4141593209	497935.0363990067	0.9996946839054842	0.004067216097613186	False		2
MIMIC-IV-2.2	20260613	4	10	429057.02535534627	430906.90246915363	0.9995087435674995	0.004067216097613186	False		2
MIMIC-IV-2.2	20260613	5	10	400965.15394842165	403279.2859363506	0.9905841590982781	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260614	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260614	3	10	496549.4126712584	497935.03491094423	0.9996947045658556	0.004067216097613186	False		2
MIMIC-IV-2.2	20260614	4	10	429057.022134203	430906.89924801036	0.9995089655406044	0.004067216097613186	False		2
MIMIC-IV-2.2	20260614	5	10	387369.61239737325	389683.7443853022	0.9995071753040232	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260615	2	10	595596.4627463353	596517.8301118996	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260615	3	10	496549.4126906871	497935.03493037296	0.999694704565766	0.004067216097613186	False		2
MIMIC-IV-2.2	20260615	4	10	429057.0217032368	430906.89881704416	0.999508995426022	0.004067216097613186	False		2
MIMIC-IV-2.2	20260615	5	10	400964.3144035041	403278.446391433	0.9907559426997409	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260616	2	10	595596.4627478467	596517.8301134111	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260616	3	10	496549.4131491886	497935.0353888745	0.9996946977451303	0.004067216097613186	False		2
MIMIC-IV-2.2	20260616	4	10	429057.02523239376	430906.9023462011	0.999508752613334	0.004067216097613186	False		2
MIMIC-IV-2.2	20260616	5	10	400965.59848038614	403279.7304683151	0.9904931251242666	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260617	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260617	3	10	496549.4115424418	497935.03378212766	0.9996947211728233	0.004067216097613186	False		2
MIMIC-IV-2.2	20260617	4	10	429057.0227635406	430906.899877348	0.9995089217144821	0.004067216097613186	False		2
MIMIC-IV-2.2	20260617	5	10	400964.36703574075	403278.4990236697	0.990752136385867	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260618	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260618	3	10	496549.41413246887	497935.0363721547	0.9996946839055945	0.004067216097613186	False		2
MIMIC-IV-2.2	20260618	4	10	429057.02570401377	430906.90281782113	0.9995087204838327	0.004067216097613186	False		2
MIMIC-IV-2.2	20260618	5	10	400965.06816722266	403279.2001551516	0.9905122289677445	0.004067216097613186	False	2.0	2
MIMIC-IV-2.2	20260619	2	10	595596.4627469038	596517.8301124681	0.9999999521866411	0.4995183559884405	True		2
MIMIC-IV-2.2	20260619	3	10	496549.41074349405	497935.0329831799	0.9996947327200052	0.004067216097613186	False		2
