dataset_id	seed	number_of_classes	n_init	adjusted_rand_vs_reference	high_intensity_jaccard_vs_reference	high_intensity_n	lower_intensity_n	high_intensity_event_rate	lower_intensity_event_rate	mean_max_posterior	min_class_proportion	aic	bic
MIMIC-IV-2.2	20260608	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627478467	596517.8301134111
MIMIC-IV-2.2	20260609	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260610	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627478467	596517.8301134111
MIMIC-IV-2.2	20260611	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260612	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260613	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260614	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260615	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627463353	596517.8301118996
MIMIC-IV-2.2	20260616	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627478467	596517.8301134111
MIMIC-IV-2.2	20260617	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260618	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260619	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260620	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260621	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627478467	596517.8301134111
MIMIC-IV-2.2	20260622	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260623	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627415877	596517.830107152
MIMIC-IV-2.2	20260624	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260625	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260626	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627469038	596517.8301124681
MIMIC-IV-2.2	20260627	2	10	1.0	1.0	4676	4667	0.0665098374679213	0.028712234840368545	0.9999999521866411	0.4995183559884405	595596.4627478467	596517.8301134111
