dataset_id	outcome	landmark_time	model	term	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariate_set	aic	interpretation
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_covariate_extended_reference	high_intensity_class	odds_ratio	1.7367858133283574	1.3095369896501818	2.303428605086157	0.00012714666083815781	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174	Reference clinical covariate-extended model.
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	early_bedside_acuity_proxy_adjusted	high_intensity_class	odds_ratio	1.1241503032613485	0.8760889427847497	1.4424493251857755	0.35756455258139874	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,early_bedside_acuity_proxy_z	3387.518968969588	Adds a composite early bedside-acuity proxy instead of individual clinical markers.
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	high_intensity_class	odds_ratio	1.4226687831790688	1.054925058664355	1.918606871652845	0.02086447224134957	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116	Adds deep-sedation/minimum-RASS and medication-infusion burden to the clinical covariate-extended model.
