claim_id	dataset_id	outcome	landmark_time	phenotype_class	reference_class	model	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariate_set	aic	fdr	table_section	term	analysis	model_type
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	0.965532011940478	0.8634787554667697	1.079646789431294	0.5382746821756725	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	night_fraction_z		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	1.6170008108519305	1.46846815102858	1.780557256529094	1.4313049355597992e-22	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	diagnosis_count_z		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	2.630092839759121	1.8350282826768605	3.769635820359895	1.3982505176628222e-07	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	dementia_flag		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	1.3219570654866608	1.0332454385302443	1.691341106209926	0.0264090947236057	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	sepsis_flag		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	0.7981905192055437	0.5826461735050293	1.0934734216427768	0.1604452451477785	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	sedative_exposure		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	1.1021563359365525	0.8386196354668599	1.4485095953767353	0.4853916426802179	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	opioid_exposure		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	0.798654345508673	0.6272178066602759	1.0169493863642316	0.0682022191631883	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	vasopressor_exposure		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	0.9344085691813157	0.7420104886724915	1.176694113477486	0.5641101471036795	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	emergency_admission		
dynamic_nursing_screening	MIMIC-IV-2.2	incident_post_landmark_delirium	48h			clinical_covariate_extended	odds_ratio	1.2434548136469752	0.9564016687120714	1.6166637137553104	0.1037117576196332	9340	445.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit	3269.358678359174		clinical_covariate_extended	micu_unit		
	MIMIC-IV-2.2	hospital_expire_flag					odds_ratio	1.1233804924063284	0.9748349645285864	1.2945614146383833	0.1078825975566527	9340	1277.0	high_intensity_class,age_z,male,total_event_z,night_fraction_z			secondary_outcomes		secondary_hospital_mortality	logistic
	MIMIC-IV-2.2	log_icu_los_days					mean_difference_on_log1p_scale	0.0349132893663935	0.0107804223498136	0.0590461563829734	0.0045844666530158	9340		high_intensity_class,age_z,male,total_event_z,night_fraction_z			secondary_outcomes		secondary_icu_los	linear_ols
	MIMIC-IV-2.2	log_hospital_los_days					mean_difference_on_log1p_scale	0.008573179070833	-0.0189135269210342	0.0360598850627003	0.5409964309598669	9340		high_intensity_class,age_z,male,total_event_z,night_fraction_z			secondary_outcomes		secondary_hospital_los	linear_ols
